# Generated by tools/schema_codegen.nim; do not edit by hand.
# source_commit	2c0a5ddffb9c9cf9b3a8826454758397a6b4804b
method	path	operation_id	request_schema	response_schema
GET	/guilds/{guild_id}/members/{user_id}	get_guild_member	-	GuildMemberResponse
PUT	/guilds/{guild_id}/members/{user_id}	add_guild_member	BotAddGuildMemberRequest	GuildMemberResponse
PATCH	/guilds/{guild_id}/members/{user_id}	update_guild_member	object	GuildMemberResponse
DELETE	/guilds/{guild_id}/members/{user_id}	delete_guild_member	-	-
PUT	/guilds/{guild_id}/members/{user_id}/roles/{role_id}	add_guild_member_role	-	-
DELETE	/guilds/{guild_id}/members/{user_id}/roles/{role_id}	delete_guild_member_role	-	-
GET	/guilds/{guild_id}/messages/search	guild_search	-	GuildSearchResponse
GET	/guilds/{guild_id}/new-member-welcome	get_guild_new_member_welcome	-	GuildHomeSettingsResponse
GET	/guilds/{guild_id}/onboarding	get_guilds_onboarding	-	UserGuildOnboardingResponse
PUT	/guilds/{guild_id}/onboarding	put_guilds_onboarding	UpdateGuildOnboardingRequest	GuildOnboardingResponse
GET	/guilds/{guild_id}/preview	get_guild_preview	-	GuildPreviewResponse
GET	/guilds/{guild_id}/prune	preview_prune_guild	-	GuildPruneResponse
POST	/guilds/{guild_id}/prune	prune_guild	PruneGuildRequest	GuildPruneResponse
GET	/guilds/{guild_id}/regions	list_guild_voice_regions	-	seq[VoiceRegionResponse] | null
GET	/guilds/{guild_id}/requests	get_guild_join_requests	-	GuildJoinRequestsListResponse
PATCH	/guilds/{guild_id}/requests/{request_id}	action_guild_join_request	object	GuildJoinRequestResponse
GET	/guilds/{guild_id}/roles	list_guild_roles	-	seq[GuildRoleResponse]
POST	/guilds/{guild_id}/roles	create_guild_role	CreateRoleRequest	GuildRoleResponse
PATCH	/guilds/{guild_id}/roles	bulk_update_guild_roles	seq[UpdateRolePositionsRequest]	seq[GuildRoleResponse]
GET	/guilds/{guild_id}/roles/member-counts	guild_role_member_counts	-	object
GET	/guilds/{guild_id}/roles/{role_id}	get_guild_role	-	GuildRoleResponse
PATCH	/guilds/{guild_id}/roles/{role_id}	update_guild_role	UpdateRoleRequestPartial	GuildRoleResponse
DELETE	/guilds/{guild_id}/roles/{role_id}	delete_guild_role	-	-
GET	/guilds/{guild_id}/scheduled-events	list_guild_scheduled_events	-	seq[ExternalScheduledEventResponse | StageScheduledEventResponse | VoiceScheduledEventResponse] | null
POST	/guilds/{guild_id}/scheduled-events	create_guild_scheduled_event	ExternalScheduledEventCreateRequest | StageScheduledEventCreateRequest | VoiceScheduledEventCreateRequest	ExternalScheduledEventResponse | StageScheduledEventResponse | VoiceScheduledEventResponse
GET	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}	get_guild_scheduled_event	-	ExternalScheduledEventResponse | StageScheduledEventResponse | VoiceScheduledEventResponse
PATCH	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}	update_guild_scheduled_event	ExternalScheduledEventPatchRequestPartial | StageScheduledEventPatchRequestPartial | VoiceScheduledEventPatchRequestPartial	ExternalScheduledEventResponse | StageScheduledEventResponse | VoiceScheduledEventResponse
DELETE	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}	delete_guild_scheduled_event	-	-
POST	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/exceptions	create_guild_scheduled_event_exception	GuildScheduledEventExceptionCreateRequest	GuildScheduledEventExceptionResponse
PATCH	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/exceptions/{exception_id}	update_guild_scheduled_event_exception	GuildScheduledEventExceptionPatchRequestPartial	GuildScheduledEventExceptionResponse
DELETE	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/exceptions/{exception_id}	delete_guild_scheduled_event_exception	-	-
GET	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/users	list_guild_scheduled_event_users	-	seq[ScheduledEventUserResponse] | null
GET	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/users/counts	count_guild_scheduled_event_users	-	ScheduledEventUserCountResponse
GET	/guilds/{guild_id}/scheduled-events/{guild_scheduled_event_id}/{guild_scheduled_event_exception_id}/users	list_guild_scheduled_event_exception_users	-	seq[ScheduledEventUserResponse] | null
GET	/guilds/{guild_id}/soundboard-sounds	list_guild_soundboard_sounds	-	ListGuildSoundboardSoundsResponse
POST	/guilds/{guild_id}/soundboard-sounds	create_guild_soundboard_sound	SoundboardCreateRequest	SoundboardSoundResponse
GET	/guilds/{guild_id}/soundboard-sounds/{sound_id}	get_guild_soundboard_sound	-	SoundboardSoundResponse
PATCH	/guilds/{guild_id}/soundboard-sounds/{sound_id}	update_guild_soundboard_sound	SoundboardPatchRequestPartial	SoundboardSoundResponse
DELETE	/guilds/{guild_id}/soundboard-sounds/{sound_id}	delete_guild_soundboard_sound	-	-
GET	/guilds/{guild_id}/stickers	list_guild_stickers	-	seq[GuildStickerResponse]
POST	/guilds/{guild_id}/stickers	create_guild_sticker	object	GuildStickerResponse
GET	/guilds/{guild_id}/stickers/{sticker_id}	get_guild_sticker	-	GuildStickerResponse
PATCH	/guilds/{guild_id}/stickers/{sticker_id}	update_guild_sticker	object	GuildStickerResponse
DELETE	/guilds/{guild_id}/stickers/{sticker_id}	delete_guild_sticker	-	-
GET	/guilds/{guild_id}/templates	list_guild_templates	-	seq[GuildTemplateResponse] | null
POST	/guilds/{guild_id}/templates	create_guild_template	object	GuildTemplateResponse
PUT	/guilds/{guild_id}/templates/{code}	sync_guild_template	-	GuildTemplateResponse
PATCH	/guilds/{guild_id}/templates/{code}	update_guild_template	object	GuildTemplateResponse
DELETE	/guilds/{guild_id}/templates/{code}	delete_guild_template	-	GuildTemplateResponse
GET	/guilds/{guild_id}/threads/active	get_active_guild_threads	-	ThreadsResponse
GET	/guilds/{guild_id}/vanity-url	get_guild_vanity_url	-	VanityURLResponse
GET	/guilds/{guild_id}/voice-states/@me	get_self_voice_state	-	VoiceStateResponse
PATCH	/guilds/{guild_id}/voice-states/@me	update_self_voice_state	UpdateSelfVoiceStateRequestPartial	-
GET	/guilds/{guild_id}/voice-states/{user_id}	get_voice_state	-	VoiceStateResponse
PATCH	/guilds/{guild_id}/voice-states/{user_id}	update_voice_state	UpdateVoiceStateRequestPartial	-
GET	/guilds/{guild_id}/webhooks	get_guild_webhooks	-	seq[ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse] | null
GET	/guilds/{guild_id}/welcome-screen	get_guild_welcome_screen	-	GuildWelcomeScreenResponse
PATCH	/guilds/{guild_id}/welcome-screen	update_guild_welcome_screen	WelcomeScreenPatchRequestPartial	GuildWelcomeScreenResponse
GET	/guilds/{guild_id}/widget	get_guild_widget_settings	-	WidgetSettingsResponse
PATCH	/guilds/{guild_id}/widget	update_guild_widget_settings	object	WidgetSettingsResponse
GET	/guilds/{guild_id}/widget.json	get_guild_widget	-	WidgetResponse
GET	/guilds/{guild_id}/widget.png	get_guild_widget_png	-	string
POST	/interactions/{interaction_id}/{interaction_token}/callback	create_interaction_response	ApplicationCommandAutocompleteCallbackRequest | CreateMessageInteractionCallbackRequest | LaunchActivityInteractionCallbackRequest | ModalInteractionCallbackRequest | PongInteractionCallbackRequest | SocialLayerSKUPurchaseEligibilityInteractionCallbackRequest | UpdateMessageInteractionCallbackRequest	InteractionCallbackResponse
GET	/invites/{code}	invite_resolve	-	FriendInviteResponse | GroupDMInviteResponse | GuildInviteResponse
DELETE	/invites/{code}	invite_revoke	-	FriendInviteResponse | GroupDMInviteResponse | GuildInviteResponse
GET	/invites/{code}/target-users	get_invite_target_users	-	string
PUT	/invites/{code}/target-users	update_invite_target_users	object	-
GET	/invites/{code}/target-users/job-status	get_invite_target_users_job_status	-	TargetUsersJobStatusResponse
POST	/lobbies	create_lobby	object	LobbyResponse
PUT	/lobbies	create_or_join_lobby	object	LobbyResponse
GET	/lobbies/{lobby_id}	get_lobby	-	LobbyResponse
PATCH	/lobbies/{lobby_id}	edit_lobby	object	LobbyResponse
DELETE	/lobbies/{lobby_id}	delete_lobby	-	-
PATCH	/lobbies/{lobby_id}/channel-linking	edit_lobby_channel_link	object	LobbyResponse
DELETE	/lobbies/{lobby_id}/members/@me	leave_lobby	-	-
POST	/lobbies/{lobby_id}/members/@me/invites	create_linked_lobby_guild_invite_for_self	-	LobbyGuildInviteResponse
POST	/lobbies/{lobby_id}/members/bulk	bulk_update_lobby_members	seq[BulkLobbyMemberRequest] | null	seq[LobbyMemberResponse] | null
PUT	/lobbies/{lobby_id}/members/{user_id}	add_lobby_member	object	LobbyMemberResponse
